"# ","Player ","Team ","Mat ","Inns ","NO ","Runs ","4's ","6's ","50's ","100's ","HS ","SR ","Avg "
"161","Abhayjit Khangura","Manhattan Yorkers","4","2","1","48","2","4","0","0","28","129.73","48.00"
"162","Hardik Desai","Orlando Galaxy","3","3","1","48","4","0","0","0","26","109.09","24.00"
"163","Unmukt Chand","Atlanta Lightning","4","4","0","48","2","2","0","0","19","100.00","12.00"
"164","Arjun Mahesh","Dallas Xforia Giants","5","4","0","48","5","0","0","0","19","73.85","12.00"
"165","Chaithanya Kumar Chava","Atlanta Lightning","4","4","3","47","3","4","0","0","25","174.07","47.00"
"166","Corne Dry","Atlanta Fire","8","7","3","47","4","2","0","0","17","134.29","11.75"
"167","Ishan Sharma","Manhattan Yorkers","3","3","1","47","3","3","0","0","37","127.03","23.50"
"168","Rahul Basu","Chicago Tigers","4","4","0","47","3","1","0","0","23","97.92","11.75"
"169","Manav Nayak","Golden State Grizzlies","3","3","0","46","4","3","0","0","27","115.00","15.33"
"170","Vijay Balagopala","Orlando Galaxy","3","3","0","46","6","1","0","0","20","90.20","15.33"
"171","Vedant Jain","Los Angeles Lashings","6","4","1","45","2","2","0","0","25","128.57","15.00"
"172","Dimitri Adams","Orlando Galaxy","3","3","0","45","2","3","0","0","38","100.00","15.00"
"173","Shreyas Chitneni","Seattle Thunderbolts","3","3","0","45","3","0","0","0","25","80.36","15.00"
"174","Abinav Sudershanum","Seattle Thunderbolts","5","4","1","42","2","1","0","0","20","105.00","14.00"
"175","Vandit Prajapati","New England Eagles","5","5","0","42","0","3","0","0","15","85.71","8.40"
"176","Talha Mumtaz","New England Eagles","3","3","0","42","3","0","0","0","24","80.77","14.00"
"177","Irfan Nasim","New England Eagles","2","2","0","41","5","3","0","0","39","195.24","20.50"
"178","Ali Sheikh","Houston Hurricanes","5","5","0","41","3","0","0","0","32","91.11","8.20"
"179","Adnesh Tondale","Golden State Grizzlies","7","7","4","41","2","1","0","0","21","87.23","13.67"
"180","Pranav Rao","New England Eagles","4","4","1","41","3","1","0","0","18","69.49","13.67"
"181","Satvik Addala","NYC Titans","2","2","0","41","2","1","0","0","29","58.57","20.50"
"182","Muned Ahmed","Michigan Cricket Stars","5","4","0","40","1","4","0","0","25","133.33","10.00"
"183","Dino Chooweenam","Ft. Lauderdale Lions","2","2","0","40","3","3","0","0","35","80.00","20.00"
"184","Srimantha Wijeratne","Morrisville Raptors","3","3","0","39","2","2","0","0","22","100.00","13.00"
"185","Abdullah Ghazi","New Jersey Somerset Cavaliers","5","3","1","38","3","2","0","0","16","152.00","19.00"
"186","Noman Iftikhar","New England Eagles","8","8","3","38","1","3","0","0","13","97.44","7.60"
"187","Gary Graham","Silicon Valley Strikers","7","6","1","38","2","1","0","0","15","84.44","7.60"
"188","Taahaa Warraich","The Philadelphians","4","4","0","38","1","2","0","0","29","82.61","9.50"
"189","Harish Kakani","Dallas Xforia Giants","6","4","1","37","3","2","0","0","19","176.19","12.33"
"190","Mohammad Mohsin","Baltimore Royals","2","2","1","37","2","3","0","0","35","142.31","37.00"
"191","Raymond Ramrattan","New Jersey Stallions","5","5","0","36","1","1","0","0","14","57.14","7.20"
"192","Anirudh Immanuel","New Jersey Stallions","6","3","0","35","5","1","0","0","30","129.63","11.67"
"193","Naman Patil","Silicon Valley Strikers","4","3","1","35","2","1","0","0","19","87.50","17.50"
"194","Earl Henningham","New England Eagles","4","4","1","34","2","2","0","0","27","121.43","11.33"
"195","Sidhesh Pathare","Lone Star Athletics","6","5","0","34","4","0","0","0","12","73.91","6.80"
"196","Aashish Katipally","NYC Titans","4","4","0","33","3","2","0","0","30","63.46","8.25"
"197","Pruthvish Patel","Chicago Tigers","6","6","0","33","1","2","0","0","19","63.46","5.50"
"198","Jasdeep Singh","New Jersey Stallions","1","1","0","32","0","3","0","0","32","133.33","32.00"
"199","Omkar Zope","NYC Titans","5","5","1","32","3","1","0","0","12","106.67","8.00"
"200","Tanaf Wasie","Michigan Cricket Stars","3","2","1","32","3","1","0","0","30","94.12","32.00"
